QC-1,QC-2,QC-3,QC-4,QC-5,QC-6,QC-7,QC-8
2389291,2582027,2591495,2496322,2408162,2539575,2159905,2308382
48810478,51024096,54951609,51288239,51606005,54162229,49928387,51224142
165443949,172511286,171965649,169097155,172134467,170245145,171646253,172316953
273332,354230,349252,391682,381125,290529,442254,356052
274871249,273464847,287690767,271533489,273962021,280156947,277364231,278850802
1984274,1646045,1412878,1215292,59949,35568,33180,64839
210305,28882,27096,27555,26248,37054,27007,44679
6187689,5869398,6014872,4995527,5084839,4902611,4427814,4728166
440362306,426018803,27050058,171426313,12639637,168326529,13036053,166005897
177467,110933,139235,107456,117558,117559,124151,102797
4380870,5535352,6512117,6847495,6880886,4338616,8233237,6809917
16246514,13647901,10521893,4576418,5145807,4600913,2614333,2361300
561918,649299,652398,592567,649357,476691,823503,624153
3444752,4379304,4149205,4167699,4572255,4839546,4447664,4537719
4526568,4397891,4740336,4500780,4397937,4318742,4286856,4377644
546435036,564848102,552999988,548281309,550532103,531596126,533794068,537310075
234625769,239956606,235472795,232179355,233732061,233461654,234948795,232558017
28023028,26285402,26663468,25882973,26594192,25016596,26214907,26447286
109301,105237,81046,104958,104065,91374,132408,105652
441971,596818,555189,484112,512191,390140,596098,519444
17217749,16668394,16272444,16057462,15783004,15847309,16556601,16701245
255512,408440,241268,266971,236503,334578,404227,247131
25001247,25895530,20085815,22247852,21170771,24518920,19722795,22905343
65592422,23818489,53841811,46050099,8557220,4638224,4683813,53951029
3123139,2722856,2519642,2566782,2655613,2539462,2645909,2349773
3406664,3471947,3363397,3327044,3089556,3099035,3340486,3186363
12225330,13672871,14459124,14758264,14568566,14483272,14653401,13750877
25905914,28511355,28997358,27215613,28668913,20825910,27809406,26236375
60706342,36512262,70971776,28287611,24632077,19744847,31787091,27624523
499268,428075,429030,415613,359937,400102,376683,426638
1308072,1490919,1121471,1385923,1080070,1360600,1560047,1176477
3683580,6221473,6295503,5682704,6212923,5911999,5988294,6134957
4671552,2954718,3124091,2899205,4266554,2921394,3053421,2693988
16362125,18122327,18039981,17661496,17311625,17895066,18409311,16964050
1502906,1348048,1375156,1216642,1754983,1224081,1303771,1684091
296835,266506,275492,236933,272807,259064,267686,260518
103446353,112574904,103280704,106134873,110037859,99208961,111382177,89973677
4653372,4778795,4993366,5464880,4985935,5028537,5032316,5277039
778966,259919,922713,2056879,1178641,909251,1038732,1043643
3204871,2848628,2545075,2344800,3071834,3048184,3001011,2787597
295624795,309781837,304980632,309939117,302378769,307183927,306996426,305296132
118146186,116302920,119861150,119460769,118379695,123230495,122223400,117700234
8781237,4545168,1041952,495798,7573740,559377,771398,477256
4406374,4733102,3987457,3944981,4470320,3698426,3707776,3746040
304971,232270,179152,129841,125305,115262,132413,120080
1434827,1083550,594315,339215,332272,280284,277213,258663
60596353,65328469,58589592,60907228,65912315,59090132,65896401,55733657
1143233,840221,880199,771177,858086,742846,887021,832286
359477078,349247419,393560937,358895758,360514786,366088357,363587476,369902693
16705962,13671804,6455984,10868194,4225086,8512721,4024272,3731689
20173595,19991513,20210126,19971062,18772840,20508466,19559368,18542767
21436545,21492968,21139852,21188917,20443362,20909580,20086617,21486439
15167798,15329065,17406511,16885146,18026913,17890898,17027008,19042414
110303,145397,126238,120429,126401,103920,109632,108372
3929164,4936952,4200779,1470848,1925349,1740386,1514450,3174472
37245987,38004948,37751620,21934725,27796880,28234490,30708615,22331544
209771,177776,184870,193836,181319,215395,180578,174482
2281474,2938803,2786367,2472542,2557571,2501740,2608146,2567504
37311984,34763765,36092157,32015854,35899915,33835466,35274106,34197875
11063419,11079354,10258786,10641293,10615211,10340935,10394725,11073653
54029024,52512862,53806814,52824072,50601073,51861570,53845619,53607662
64005180,62342331,68700422,64052993,66011075,65098817,66963049,65719731
133737234,144415753,129575275,112415957,106809199,113544459,110435369,101687416
1681857,1800278,1467838,1648850,1797424,1444409,1736837,1738086
